title,eclass_count,extraction_time,optimized_cost,optimized_rel_error,rel_cost_decrease,classification_accuracy
mlp::0::1::None,65,31791,79620,0.0,0.0,0.9702
mlp::1::1::None,65,29001,79620,0.0,0.0,0.9702
mlp::2::1::None,65,33449,79620,0.0,0.0,0.9702
mlp::3::1::None,65,35235,66641,0.06964694799307328,0.16300173825671943,0.97
mlp::4::1::None,65,31739,48960,0.17668713264517868,0.38507619191158,0.9676
mlp::0::None::[-3-0],11,28493,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::1::None::[-3-0],11,28568,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::2::None::[-3-0],11,28041,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::3::None::[-3-0],11,28222,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::4::None::[-3-0],11,27949,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::0::1::[-3-0],619,36742,76017,0.005781369558767596,0.04524565938206481,0.9702
mlp::1::1::[-3-0],619,35634,76386,0.0048533368044313815,0.04061793519216277,0.9702
mlp::2::1::[-3-0],619,37404,76034,0.0057813695587677445,0.045038934940969604,0.9702
mlp::3::1::[-3-0],619,36081,59783,0.07466638345114765,0.24913992966591308,0.9703
mlp::4::1::[-3-0],619,30034,39165,0.19998884615930282,0.5081006129113288,0.9655
