title,eclass_count,generation,extraction_time,optimized_cost,optimized_rel_error,rel_cost_decrease,classification_accuracy
lenet::0::1::None,213,8,74926,55112,0.019882543885009797,0.07137561501651277,0.9851
lenet::1::1::None,213,13,115419,32426,0.04950197355647229,0.45362943991372917,0.9837
lenet::2::1::None,213,8,72560,16232,0.09304731373135122,0.7264945743748736,0.9819
lenet::3::1::None,213,10,88009,12931,0.231309530990143,0.7821156568039361,0.9486
lenet::0::None::[-3-0],16,6,51262,54825,0.014626266814146425,0.07621149828132372,0.9856
lenet::1::None::[-3-0],16,6,50850,50461,0.04027197496365653,0.14974388353440723,0.9849
lenet::2::None::[-3-0],16,7,58158,20823,0.08779965051655012,0.6491372919053717,0.9822
lenet::3::None::[-3-0],16,7,59274,20823,0.09058337953051536,0.6491372919053717,0.9818
lenet::0::1::[-3-0],213,13,107198,54825,0.01480175282541948,0.07621149828132372,0.9856
lenet::1::1::[-3-0],213,11,98832,29377,0.04925185620248999,0.505004380939543,0.984
lenet::2::1::[-3-0],213,14,120092,14083,0.09434271988465812,0.7627047246747994,0.9822
lenet::3::1::[-3-0],213,25,202677,9982,0.2216703674256313,0.8318056210824291,0.9538
